id,name,prep_time,cook_time,cal,main,ing_name,ing_q
,Chunky Shepherds Pie With Buttery Greens,,55,,,white potatoes,3
,Melty Greek Lamb Moussaka,,50,,,white potatoes,3
,One-Pot Creamy Sun-Dried Tomato & Chicken Stew,,35,,,white potatoes,3
,"One-Pot Haddock, Leek & Cheddar Chowder",,25,,,white potatoes,3
,Spanish Chicken & Charred Pepper Salad,,30,,,white potatoes,3
,Salt & Pepper Chicken With Egg Fried Rice,,30,,,spring onions,3
,Mc & Sons' Chicken Khao Soi Curry,,35,,,red onions,3
,Baked Butternut Squash Biryani With Coconut Yoghurt,,25,,,garlic cloves,3
,Chestnut Mushroom Bolognese,,40,,,garlic cloves,3
,Hawaiian-Style Huli Huli Grilled Chicken Poke,,40,,,garlic cloves,3
,Korean Prawn Jjam-Pong Noodle Soup,,25,,,garlic cloves,3
,Mc & Sons' Chicken Khao Soi Curry,,35,,,garlic cloves,3
,One-Pot Minty Lamb & Potato Stew,,35,,,garlic cloves,3
,Oven-Baked Spicy Prawn Arrabbiata Farfalle,,35,,,garlic cloves,3
